index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 21:12:49.060, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:12:50.070, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:12:51.075, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:12:52.078, 24.47 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:12:53.081, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:12:54.086, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:12:55.090, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:12:56.096, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:12:57.100, 40.52 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 21:12:58.103, 40.26 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 21:12:59.106, 40.16 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 21:13:00.108, 40.62 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 21:13:01.111, 40.62 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 21:13:02.114, 40.62 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 21:13:03.117, 37.92 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:04.120, 37.82 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:05.123, 38.31 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:06.126, 38.18 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:07.129, 38.31 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:08.132, 38.31 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:09.136, 38.29 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:10.139, 38.28 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:11.142, 38.28 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:12.145, 38.21 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:13.148, 38.28 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:14.151, 38.31 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:15.154, 38.22 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:16.157, 38.29 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:17.160, 38.60 W, 1312 MHz, 1107 MHz, 1312 MHz
0, 2023/11/22 21:13:18.163, 38.60 W, 1312 MHz, 1107 MHz, 1312 MHz
