begin timestamp : 1700706228.84469; tag : query; duration : 0.1629326343536377; package_0 : 8919873.0; package_1 : 10285372.0; core_0 : 76.0; core_1 : 0.0; nvidia_gpu_0 : 7495
begin timestamp : 1700706229.010506; tag : query; duration : 0.135390043258667; package_0 : 7388503.0; package_1 : 8504290.0; core_0 : 290.0; core_1 : 0.0; nvidia_gpu_0 : 5984
begin timestamp : 1700706229.1487966; tag : query; duration : 0.04176473617553711; package_0 : 2244117.0; package_1 : 2582142.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 2131
begin timestamp : 1700706229.1959484; tag : query; duration : 0.13052964210510254; package_0 : 7113798.0; package_1 : 8202975.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6019
begin timestamp : 1700706229.329351; tag : query; duration : 0.1793360710144043; package_0 : 9798306.0; package_1 : 11295863.0; core_0 : 321.0; core_1 : 0.0; nvidia_gpu_0 : 8225
begin timestamp : 1700706229.5115883; tag : query; duration : 0.17593073844909668; package_0 : 9574365.0; package_1 : 11036264.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7861
begin timestamp : 1700706229.6906612; tag : query; duration : 0.17062902450561523; package_0 : 9364278.0; package_1 : 10786476.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7862
begin timestamp : 1700706229.8642151; tag : query; duration : 0.14620351791381836; package_0 : 7990798.0; package_1 : 9210568.0; core_0 : 427.0; core_1 : 0.0; nvidia_gpu_0 : 6763
begin timestamp : 1700706230.013351; tag : query; duration : 0.11950373649597168; package_0 : 6510817.0; package_1 : 7560858.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5412
begin timestamp : 1700706230.137989; tag : query; duration : 0.15407919883728027; package_0 : 8427513.0; package_1 : 9705782.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7079
begin timestamp : 1700706230.2949626; tag : query; duration : 0.1770310401916504; package_0 : 9655049.0; package_1 : 11097983.0; core_0 : 702.0; core_1 : 625.0; nvidia_gpu_0 : 7876
begin timestamp : 1700706230.4750557; tag : query; duration : 0.11957359313964844; package_0 : 6581477.0; package_1 : 7546180.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5415
begin timestamp : 1700706230.598744; tag : query; duration : 0.1644270420074463; package_0 : 8984581.0; package_1 : 10358794.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7542
begin timestamp : 1700706230.766032; tag : query; duration : 0.1309201717376709; package_0 : 7175136.0; package_1 : 8204227.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6027
begin timestamp : 1700706230.9000638; tag : query; duration : 0.12372803688049316; package_0 : 6754015.0; package_1 : 7760417.0; core_0 : 503.0; core_1 : 0.0; nvidia_gpu_0 : 5791
begin timestamp : 1700706231.0280495; tag : query; duration : 0.16364026069641113; package_0 : 8972436.0; package_1 : 10361464.0; core_0 : 31.0; core_1 : 305.0; nvidia_gpu_0 : 7508
begin timestamp : 1700706231.1946416; tag : query; duration : 0.13700199127197266; package_0 : 7441265.0; package_1 : 8572357.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6064
begin timestamp : 1700706231.334615; tag : query; duration : 0.13112950325012207; package_0 : 7170024.0; package_1 : 8265351.0; core_0 : 244.0; core_1 : 0.0; nvidia_gpu_0 : 6082
begin timestamp : 1700706231.4686134; tag : query; duration : 0.17102742195129395; package_0 : 9356526.0; package_1 : 10794013.0; core_0 : 137.0; core_1 : 0.0; nvidia_gpu_0 : 7825
begin timestamp : 1700706231.642486; tag : query; duration : 0.11451196670532227; package_0 : 6242734.0; package_1 : 7184855.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5396
begin timestamp : 1700706231.7616045; tag : query; duration : 0.14705634117126465; package_0 : 8052410.0; package_1 : 9273934.0; core_0 : 183.0; core_1 : 0.0; nvidia_gpu_0 : 6747
begin timestamp : 1700706231.9115033; tag : query; duration : 0.11496281623840332; package_0 : 6349662.0; package_1 : 7261633.0; core_0 : 61.0; core_1 : 0.0; nvidia_gpu_0 : 5345
begin timestamp : 1700706232.0293708; tag : query; duration : 0.15589332580566406; package_0 : 8611722.0; package_1 : 9788663.0; core_0 : 565.0; core_1 : 0.0; nvidia_gpu_0 : 7178
begin timestamp : 1700706232.1881628; tag : query; duration : 0.14959144592285156; package_0 : 8241410.0; package_1 : 9635823.0; core_0 : 473.0; core_1 : 320.0; nvidia_gpu_0 : 6982
begin timestamp : 1700706232.342821; tag : query; duration : 0.19060635566711426; package_0 : 10423442.0; package_1 : 12029881.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 8692
begin timestamp : 1700706232.5363736; tag : query; duration : 0.11454272270202637; package_0 : 6239027.0; package_1 : 7189661.0; core_0 : 305.0; core_1 : 0.0; nvidia_gpu_0 : 5305
begin timestamp : 1700706232.6537461; tag : query; duration : 0.13111567497253418; package_0 : 7171565.0; package_1 : 8268509.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6126
begin timestamp : 1700706232.7877908; tag : query; duration : 0.13906431198120117; package_0 : 7612201.0; package_1 : 8833269.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6471
begin timestamp : 1700706232.931298; tag : query; duration : 0.13860154151916504; package_0 : 7556036.0; package_1 : 8701683.0; core_0 : 15.0; core_1 : 0.0; nvidia_gpu_0 : 6360
begin timestamp : 1700706233.0727847; tag : query; duration : 0.1716446876525879; package_0 : 9367527.0; package_1 : 10849491.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7917
begin timestamp : 1700706233.2473626; tag : query; duration : 0.10735964775085449; package_0 : 5913680.0; package_1 : 6845288.0; core_0 : 0.0; core_1 : 595.0; nvidia_gpu_0 : 5063
