begin timestamp : 1700707896.0583322; tag : query_2; duration : 0.1503133773803711; package_0 : 8197025.0; package_1 : 9470870.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6935
begin timestamp : 1700707896.2122095; tag : query_2; duration : 0.16201496124267578; package_0 : 8854569.0; package_1 : 10215338.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7234
begin timestamp : 1700707896.3771176; tag : query_2; duration : 0.12597298622131348; package_0 : 6886774.0; package_1 : 7945161.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5855
begin timestamp : 1700707896.5059204; tag : query_2; duration : 0.1426677703857422; package_0 : 7768092.0; package_1 : 8969232.0; core_0 : 213.0; core_1 : 0.0; nvidia_gpu_0 : 6572
begin timestamp : 1700707896.6514826; tag : query_2; duration : 0.1307973861694336; package_0 : 7105437.0; package_1 : 8191562.0; core_0 : 76.0; core_1 : 0.0; nvidia_gpu_0 : 5940
begin timestamp : 1700707896.786659; tag : query_2; duration : 0.17270612716674805; package_0 : 9404650.0; package_1 : 10856571.0; core_0 : 351.0; core_1 : 0.0; nvidia_gpu_0 : 7969
begin timestamp : 1700707896.9622605; tag : query_2; duration : 0.16753864288330078; package_0 : 9131379.0; package_1 : 10543416.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7689
begin timestamp : 1700707897.1328855; tag : query_2; duration : 0.16895747184753418; package_0 : 9241771.0; package_1 : 10647322.0; core_0 : 565.0; core_1 : 0.0; nvidia_gpu_0 : 7610
begin timestamp : 1700707897.304721; tag : query_2; duration : 0.14240550994873047; package_0 : 7762142.0; package_1 : 8965952.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6593
begin timestamp : 1700707897.4500418; tag : query_2; duration : 0.11154389381408691; package_0 : 6077887.0; package_1 : 7004780.0; core_0 : 229.0; core_1 : 0.0; nvidia_gpu_0 : 5163
begin timestamp : 1700707897.564578; tag : query_2; duration : 0.15008091926574707; package_0 : 8205966.0; package_1 : 9471450.0; core_0 : 198.0; core_1 : 564.0; nvidia_gpu_0 : 6997
begin timestamp : 1700707897.7183986; tag : query_2; duration : 0.16755223274230957; package_0 : 9161254.0; package_1 : 10691418.0; core_0 : 1892.0; core_1 : 3265.0; nvidia_gpu_0 : 7753
begin timestamp : 1700707897.8890984; tag : query_2; duration : 0.11470198631286621; package_0 : 6303400.0; package_1 : 7262991.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5312
begin timestamp : 1700707898.0069215; tag : query_2; duration : 0.15814518928527832; package_0 : 8646038.0; package_1 : 9976550.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7268
begin timestamp : 1700707898.1679926; tag : query_2; duration : 0.12763571739196777; package_0 : 7005894.0; package_1 : 8090906.0; core_0 : 1572.0; core_1 : 550.0; nvidia_gpu_0 : 5958
begin timestamp : 1700707898.299929; tag : query_2; duration : 0.11931657791137695; package_0 : 6518279.0; package_1 : 7519646.0; core_0 : 183.0; core_1 : 259.0; nvidia_gpu_0 : 5564
begin timestamp : 1700707898.4221025; tag : query_2; duration : 0.1573960781097412; package_0 : 8585371.0; package_1 : 9899772.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7308
begin timestamp : 1700707898.5823472; tag : query_2; duration : 0.12637877464294434; package_0 : 6905725.0; package_1 : 7953965.0; core_0 : 0.0; core_1 : 367.0; nvidia_gpu_0 : 5880
begin timestamp : 1700707898.7115896; tag : query_2; duration : 0.12970447540283203; package_0 : 7104842.0; package_1 : 8223558.0; core_0 : 0.0; core_1 : 30.0; nvidia_gpu_0 : 6002
begin timestamp : 1700707898.8446321; tag : query_2; duration : 0.16584229469299316; package_0 : 9021140.0; package_1 : 10416484.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7717
begin timestamp : 1700707899.0133543; tag : query_2; duration : 0.17319822311401367; package_0 : 9459396.0; package_1 : 10925186.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 8034
begin timestamp : 1700707899.1911511; tag : query_2; duration : 0.1423509120941162; package_0 : 7767313.0; package_1 : 8966685.0; core_0 : 77.0; core_1 : 0.0; nvidia_gpu_0 : 6588
begin timestamp : 1700707899.3363025; tag : query_2; duration : 0.11053156852722168; package_0 : 6012781.0; package_1 : 6942451.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5165
begin timestamp : 1700707899.449659; tag : query_2; duration : 0.14944148063659668; package_0 : 8147391.0; package_1 : 9402193.0; core_0 : 183.0; core_1 : 0.0; nvidia_gpu_0 : 7000
begin timestamp : 1700707899.602848; tag : query_2; duration : 0.14206814765930176; package_0 : 7708051.0; package_1 : 8906171.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6621
begin timestamp : 1700707899.747762; tag : query_2; duration : 0.18114447593688965; package_0 : 9894996.0; package_1 : 11426930.0; core_0 : 290.0; core_1 : 0.0; nvidia_gpu_0 : 8378
begin timestamp : 1700707899.9318564; tag : query_2; duration : 0.11506080627441406; package_0 : 6288860.0; package_1 : 7253470.0; core_0 : 274.0; core_1 : 0.0; nvidia_gpu_0 : 5333
begin timestamp : 1700707900.0497801; tag : query_2; duration : 0.12718749046325684; package_0 : 7070176.0; package_1 : 8016660.0; core_0 : 702.0; core_1 : 0.0; nvidia_gpu_0 : 5937
begin timestamp : 1700707900.1798594; tag : query_2; duration : 0.13941359519958496; package_0 : 7676987.0; package_1 : 8771580.0; core_0 : 275.0; core_1 : 0.0; nvidia_gpu_0 : 6360
begin timestamp : 1700707900.324069; tag : query_2; duration : 0.1342160701751709; package_0 : 7352968.0; package_1 : 8457205.0; core_0 : 1907.0; core_1 : 0.0; nvidia_gpu_0 : 6218
begin timestamp : 1700707900.461088; tag : query_2; duration : 0.17077040672302246; package_0 : 9357640.0; package_1 : 10779578.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7674
begin timestamp : 1700707900.6348405; tag : query_2; duration : 0.10323643684387207; package_0 : 5631087.0; package_1 : 6434848.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 4862
begin timestamp : 1700707900.7409453; tag : query_2; duration : 0.1072838306427002; package_0 : 5850757.0; package_1 : 6738009.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 4789
begin timestamp : 1700707900.8510842; tag : query_2; duration : 0.17495059967041016; package_0 : 9570703.0; package_1 : 11042886.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 8065
begin timestamp : 1700707901.0291493; tag : query_2; duration : 0.15029287338256836; package_0 : 8201267.0; package_1 : 9473646.0; core_0 : 0.0; core_1 : 15.0; nvidia_gpu_0 : 7002
begin timestamp : 1700707901.1822727; tag : query_2; duration : 0.09230685234069824; package_0 : 5029357.0; package_1 : 5793280.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 4120
begin timestamp : 1700707901.2774363; tag : query_2; duration : 0.08799171447753906; package_0 : 4811382.0; package_1 : 5557040.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 4154
begin timestamp : 1700707901.368304; tag : query_2; duration : 0.08700442314147949; package_0 : 4757505.0; package_1 : 5479026.0; core_0 : 46.0; core_1 : 0.0; nvidia_gpu_0 : 4146
begin timestamp : 1700707901.4582045; tag : query_2; duration : 0.16585016250610352; package_0 : 9081302.0; package_1 : 10484123.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7696
begin timestamp : 1700707901.6269124; tag : query_2; duration : 0.15859198570251465; package_0 : 8638179.0; package_1 : 9982424.0; core_0 : 0.0; core_1 : 442.0; nvidia_gpu_0 : 7310
begin timestamp : 1700707901.788367; tag : query_2; duration : 0.15756797790527344; package_0 : 8594618.0; package_1 : 9906882.0; core_0 : 198.0; core_1 : 0.0; nvidia_gpu_0 : 7307
begin timestamp : 1700707901.948842; tag : query_2; duration : 0.15769577026367188; package_0 : 8638805.0; package_1 : 9972339.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7294
begin timestamp : 1700707902.109415; tag : query_2; duration : 0.15833497047424316; package_0 : 8638164.0; package_1 : 9980746.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7329
begin timestamp : 1700707902.2706358; tag : query_2; duration : 0.18072867393493652; package_0 : 9911017.0; package_1 : 11427953.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 8347
begin timestamp : 1700707902.4542046; tag : query_2; duration : 0.12731361389160156; package_0 : 6944572.0; package_1 : 7955598.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5870
begin timestamp : 1700707902.584396; tag : query_2; duration : 0.14693021774291992; package_0 : 8046337.0; package_1 : 9262506.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6556
begin timestamp : 1700707902.734228; tag : query_2; duration : 0.14378023147583008; package_0 : 7887990.0; package_1 : 9250498.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6699
begin timestamp : 1700707902.8810782; tag : query_2; duration : 0.13371777534484863; package_0 : 7275304.0; package_1 : 8393425.0; core_0 : 2716.0; core_1 : 0.0; nvidia_gpu_0 : 6205
begin timestamp : 1700707903.0176792; tag : query_2; duration : 0.11115241050720215; package_0 : 6070152.0; package_1 : 7006001.0; core_0 : 138.0; core_1 : 0.0; nvidia_gpu_0 : 5222
begin timestamp : 1700707903.1316657; tag : query_2; duration : 0.0641937255859375; package_0 : 3499194.0; package_1 : 4034047.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 3125
begin timestamp : 1700707903.1987624; tag : query_2; duration : 0.10255312919616699; package_0 : 5578035.0; package_1 : 6433032.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 4804
begin timestamp : 1700707903.3042192; tag : query_2; duration : 0.15541982650756836; package_0 : 8476063.0; package_1 : 9780790.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6894
begin timestamp : 1700707903.4625187; tag : query_2; duration : 0.11917996406555176; package_0 : 6510574.0; package_1 : 7512612.0; core_0 : 701.0; core_1 : 0.0; nvidia_gpu_0 : 5513
begin timestamp : 1700707903.5845535; tag : query_2; duration : 0.15475678443908691; package_0 : 8425162.0; package_1 : 9717729.0; core_0 : 0.0; core_1 : 885.0; nvidia_gpu_0 : 6944
begin timestamp : 1700707903.7421408; tag : query_2; duration : 0.1350417137145996; package_0 : 7381194.0; package_1 : 8524919.0; core_0 : 0.0; core_1 : 2227.0; nvidia_gpu_0 : 6230
begin timestamp : 1700707903.8800306; tag : query_2; duration : 0.17747950553894043; package_0 : 9708666.0; package_1 : 11167819.0; core_0 : 596.0; core_1 : 870.0; nvidia_gpu_0 : 8147
begin timestamp : 1700707904.0604086; tag : query_2; duration : 0.11543726921081543; package_0 : 6287288.0; package_1 : 7251456.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5346
begin timestamp : 1700707904.1787047; tag : query_2; duration : 0.11842942237854004; package_0 : 6450380.0; package_1 : 7443462.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5529
