begin timestamp : 1700705479.6382997; tag : query_just_inference; duration : 0.006385326385498047; package_0 : 329374.0; package_1 : 374126.0; core_0 : 0.0; core_1 : 19134.0; nvidia_gpu_0 : 0
begin timestamp : 1700705479.6452274; tag : query_just_inference; duration : 0.006384134292602539; package_0 : 328932.0; package_1 : 378337.0; core_0 : 0.0; core_1 : 19744.0; nvidia_gpu_0 : 976
begin timestamp : 1700705479.6558576; tag : query_just_inference; duration : 0.006377220153808594; package_0 : 328749.0; package_1 : 375804.0; core_0 : 0.0; core_1 : 20370.0; nvidia_gpu_0 : 0
begin timestamp : 1700705479.6627562; tag : query_just_inference; duration : 0.006352901458740234; package_0 : 384013.0; package_1 : 442009.0; core_0 : 320.0; core_1 : 23543.0; nvidia_gpu_0 : 0
begin timestamp : 1700705479.6696494; tag : query_just_inference; duration : 0.006379604339599609; package_0 : 384548.0; package_1 : 441750.0; core_0 : 0.0; core_1 : 23329.0; nvidia_gpu_0 : 1271
begin timestamp : 1700705479.6786137; tag : query_just_inference; duration : 0.0063703060150146484; package_0 : 384242.0; package_1 : 436913.0; core_0 : 77.0; core_1 : 22216.0; nvidia_gpu_0 : 0
begin timestamp : 1700705479.6855197; tag : query_just_inference; duration : 0.00637364387512207; package_0 : 383541.0; package_1 : 441826.0; core_0 : 0.0; core_1 : 23451.0; nvidia_gpu_0 : 993
begin timestamp : 1700705479.6959171; tag : query_just_inference; duration : 0.006429195404052734; package_0 : 329023.0; package_1 : 377682.0; core_0 : 0.0; core_1 : 20294.0; nvidia_gpu_0 : 0
begin timestamp : 1700705482.6332967; tag : query_just_inference; duration : 0.006190299987792969; package_0 : 365551.0; package_1 : 404764.0; core_0 : 702.0; core_1 : 14267.0; nvidia_gpu_0 : 247
begin timestamp : 1700705482.6425314; tag : query_just_inference; duration : 0.003678560256958008; package_0 : 164771.0; package_1 : 185064.0; core_0 : 0.0; core_1 : 9231.0; nvidia_gpu_0 : 0
begin timestamp : 1700705482.646752; tag : query_just_inference; duration : 0.0036525726318359375; package_0 : 164237.0; package_1 : 187230.0; core_0 : 0.0; core_1 : 8911.0; nvidia_gpu_0 : 0
begin timestamp : 1700705482.6509452; tag : query_just_inference; duration : 0.003675222396850586; package_0 : 219486.0; package_1 : 250811.0; core_0 : 0.0; core_1 : 12359.0; nvidia_gpu_0 : 0
begin timestamp : 1700705482.655155; tag : query_just_inference; duration : 0.003764629364013672; package_0 : 219639.0; package_1 : 251208.0; core_0 : 0.0; core_1 : 12298.0; nvidia_gpu_0 : 1049
begin timestamp : 1700705482.662418; tag : query_just_inference; duration : 0.0036737918853759766; package_0 : 219349.0; package_1 : 246172.0; core_0 : 0.0; core_1 : 11032.0; nvidia_gpu_0 : 0
begin timestamp : 1700705482.666625; tag : query_just_inference; duration : 0.003635883331298828; package_0 : 165061.0; package_1 : 187307.0; core_0 : 0.0; core_1 : 9216.0; nvidia_gpu_0 : 0
begin timestamp : 1700705482.6716316; tag : query_just_inference; duration : 0.0036468505859375; package_0 : 164619.0; package_1 : 185095.0; core_0 : 0.0; core_1 : 9216.0; nvidia_gpu_0 : 0
begin timestamp : 1700705482.6758127; tag : query_just_inference; duration : 0.0036580562591552734; package_0 : 164741.0; package_1 : 187337.0; core_0 : 0.0; core_1 : 8926.0; nvidia_gpu_0 : 1121
begin timestamp : 1700705482.6828163; tag : query_just_inference; duration : 0.0036478042602539062; package_0 : 164588.0; package_1 : 184500.0; core_0 : 0.0; core_1 : 8849.0; nvidia_gpu_0 : 0
begin timestamp : 1700705485.658571; tag : query_just_inference; duration : 0.010248422622680664; package_0 : 547824.0; package_1 : 617919.0; core_0 : 0.0; core_1 : 26580.0; nvidia_gpu_0 : 398
begin timestamp : 1700705485.671481; tag : query_just_inference; duration : 0.007460117340087891; package_0 : 383815.0; package_1 : 443092.0; core_0 : 0.0; core_1 : 23482.0; nvidia_gpu_0 : 0
begin timestamp : 1700705485.679505; tag : query_just_inference; duration : 0.007485151290893555; package_0 : 383983.0; package_1 : 441704.0; core_0 : 0.0; core_1 : 23101.0; nvidia_gpu_0 : 873
begin timestamp : 1700705485.689582; tag : query_just_inference; duration : 0.007481098175048828; package_0 : 383495.0; package_1 : 437965.0; core_0 : 0.0; core_1 : 23070.0; nvidia_gpu_0 : 0
begin timestamp : 1700705485.6976025; tag : query_just_inference; duration : 0.007440805435180664; package_0 : 384212.0; package_1 : 442040.0; core_0 : 0.0; core_1 : 23345.0; nvidia_gpu_0 : 967
begin timestamp : 1700705485.7088895; tag : query_just_inference; duration : 0.007440090179443359; package_0 : 438027.0; package_1 : 500431.0; core_0 : 0.0; core_1 : 25985.0; nvidia_gpu_0 : 0
begin timestamp : 1700705485.7168727; tag : query_just_inference; duration : 0.007391929626464844; package_0 : 383525.0; package_1 : 441536.0; core_0 : 0.0; core_1 : 26793.0; nvidia_gpu_0 : 982
begin timestamp : 1700705485.728877; tag : query_just_inference; duration : 0.0074427127838134766; package_0 : 384013.0; package_1 : 437935.0; core_0 : 0.0; core_1 : 26030.0; nvidia_gpu_0 : 0
begin timestamp : 1700705485.7368615; tag : query_just_inference; duration : 0.007460594177246094; package_0 : 383510.0; package_1 : 441536.0; core_0 : 0.0; core_1 : 26564.0; nvidia_gpu_0 : 994
begin timestamp : 1700705485.7491639; tag : query_just_inference; duration : 0.007426261901855469; package_0 : 438576.0; package_1 : 499898.0; core_0 : 0.0; core_1 : 25465.0; nvidia_gpu_0 : 0
