index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 21:23:17.673, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:18.682, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:19.685, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:20.688, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:21.691, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:22.694, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:23.697, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:24.700, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:25.703, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:26.706, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:27.709, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:28.712, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:29.715, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:30.719, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:31.722, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:32.725, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:33.728, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:34.731, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:35.748, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:36.751, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:37.754, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:38.757, 24.47 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:39.760, 35.67 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:40.763, 35.59 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:41.766, 35.56 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:42.769, 35.77 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:43.772, 35.76 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:44.775, 44.99 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:45.778, 45.67 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:46.781, 44.70 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:47.784, 44.90 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:48.786, 45.67 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:49.789, 45.58 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:50.793, 45.68 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:51.796, 44.99 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:52.801, 45.96 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:53.804, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:54.808, 45.48 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:55.811, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:56.814, 46.65 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:57.817, 44.31 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:58.818, 45.87 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:23:59.820, 45.97 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:00.823, 45.49 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:01.826, 44.99 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:02.829, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:03.832, 42.66 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:04.833, 44.98 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:05.836, 45.97 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:06.839, 44.21 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:07.841, 45.29 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:08.844, 45.48 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:09.847, 46.64 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:10.850, 45.08 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:11.853, 45.00 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:12.856, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:13.859, 45.38 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:14.862, 46.05 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:15.865, 46.06 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:16.868, 45.19 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:17.871, 44.98 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:18.875, 45.00 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:19.876, 46.16 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:20.879, 44.88 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:21.882, 45.08 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:22.885, 45.58 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:23.888, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:24.896, 45.18 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:25.899, 45.27 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:26.902, 46.36 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:27.905, 45.08 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:28.910, 46.26 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:29.916, 45.48 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:30.918, 46.06 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:31.921, 45.29 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:32.924, 41.40 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:33.925, 47.71 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:34.929, 46.65 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:35.931, 45.37 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:36.934, 45.77 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:37.937, 45.47 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:38.940, 45.47 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:39.943, 45.18 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:40.946, 47.13 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:41.949, 45.38 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:24:42.952, 45.29 W, 1245 MHz, 1107 MHz, 1245 MHz
