begin timestamp : 1700705632.17557; tag : query_just_inference_extract; duration : 0.006668806076049805; package_0 : 384242.0; package_1 : 441399.0; core_0 : 0.0; core_1 : 23208.0; nvidia_gpu_0 : 778
begin timestamp : 1700705632.1848187; tag : query_just_inference_extract; duration : 0.0066585540771484375; package_0 : 329008.0; package_1 : 375850.0; core_0 : 0.0; core_1 : 20476.0; nvidia_gpu_0 : 0
begin timestamp : 1700705632.1920137; tag : query_just_inference_extract; duration : 0.006663799285888672; package_0 : 329512.0; package_1 : 378017.0; core_0 : 0.0; core_1 : 20049.0; nvidia_gpu_0 : 978
begin timestamp : 1700705632.2029738; tag : query_just_inference_extract; duration : 0.0071451663970947266; package_0 : 383662.0; package_1 : 437508.0; core_0 : 0.0; core_1 : 22780.0; nvidia_gpu_0 : 0
begin timestamp : 1700705632.2106547; tag : query_just_inference_extract; duration : 0.00664973258972168; package_0 : 383449.0; package_1 : 441734.0; core_0 : 0.0; core_1 : 23604.0; nvidia_gpu_0 : 0
begin timestamp : 1700705632.2178357; tag : query_just_inference_extract; duration : 0.011394977569580078; package_0 : 602600.0; package_1 : 745430.0; core_0 : 0.0; core_1 : 27418.0; nvidia_gpu_0 : 0
begin timestamp : 1700705632.2297614; tag : query_just_inference_extract; duration : 0.006629467010498047; package_0 : 384089.0; package_1 : 441566.0; core_0 : 0.0; core_1 : 23330.0; nvidia_gpu_0 : 0
begin timestamp : 1700705632.236919; tag : query_just_inference_extract; duration : 0.00665283203125; package_0 : 329557.0; package_1 : 377742.0; core_0 : 0.0; core_1 : 20263.0; nvidia_gpu_0 : 1290
begin timestamp : 1700705632.2461853; tag : query_just_inference_extract; duration : 0.007495403289794922; package_0 : 383922.0; package_1 : 434502.0; core_0 : 0.0; core_1 : 21117.0; nvidia_gpu_0 : 0
begin timestamp : 1700705635.196063; tag : query_just_inference_extract; duration : 0.0064961910247802734; package_0 : 360806.0; package_1 : 402873.0; core_0 : 0.0; core_1 : 15410.0; nvidia_gpu_0 : 0
begin timestamp : 1700705635.2031224; tag : query_just_inference_extract; duration : 0.003960132598876953; package_0 : 219028.0; package_1 : 251009.0; core_0 : 0.0; core_1 : 12344.0; nvidia_gpu_0 : 485
begin timestamp : 1700705635.2099524; tag : query_just_inference_extract; duration : 0.003932476043701172; package_0 : 218754.0; package_1 : 247638.0; core_0 : 0.0; core_1 : 12206.0; nvidia_gpu_0 : 0
begin timestamp : 1700705635.214415; tag : query_just_inference_extract; duration : 0.003930330276489258; package_0 : 219639.0; package_1 : 251161.0; core_0 : 0.0; core_1 : 12527.0; nvidia_gpu_0 : 0
begin timestamp : 1700705635.218871; tag : query_just_inference_extract; duration : 0.003935813903808594; package_0 : 219181.0; package_1 : 251131.0; core_0 : 0.0; core_1 : 12603.0; nvidia_gpu_0 : 0
begin timestamp : 1700705635.223349; tag : query_just_inference_extract; duration : 0.003922224044799805; package_0 : 219716.0; package_1 : 251177.0; core_0 : 0.0; core_1 : 12497.0; nvidia_gpu_0 : 1067
begin timestamp : 1700705635.2298791; tag : query_just_inference_extract; duration : 0.003930091857910156; package_0 : 220127.0; package_1 : 248110.0; core_0 : 0.0; core_1 : 12450.0; nvidia_gpu_0 : 0
begin timestamp : 1700705635.2343357; tag : query_just_inference_extract; duration : 0.003915309906005859; package_0 : 220265.0; package_1 : 251147.0; core_0 : 794.0; core_1 : 12588.0; nvidia_gpu_0 : 0
begin timestamp : 1700705635.2387815; tag : query_just_inference_extract; duration : 0.003930091857910156; package_0 : 219623.0; package_1 : 251101.0; core_0 : 0.0; core_1 : 12710.0; nvidia_gpu_0 : 0
begin timestamp : 1700705635.2432501; tag : query_just_inference_extract; duration : 0.0039250850677490234; package_0 : 218571.0; package_1 : 251070.0; core_0 : 0.0; core_1 : 12481.0; nvidia_gpu_0 : 1090
begin timestamp : 1700705638.2170124; tag : query_just_inference_extract; duration : 0.010174989700317383; package_0 : 522266.0; package_1 : 587616.0; core_0 : 0.0; core_1 : 27998.0; nvidia_gpu_0 : 0
begin timestamp : 1700705638.227773; tag : query_just_inference_extract; duration : 0.007469892501831055; package_0 : 385036.0; package_1 : 450203.0; core_0 : 0.0; core_1 : 27068.0; nvidia_gpu_0 : 824
begin timestamp : 1700705638.2380338; tag : query_just_inference_extract; duration : 0.007578849792480469; package_0 : 439155.0; package_1 : 499058.0; core_0 : 488.0; core_1 : 25313.0; nvidia_gpu_0 : 0
begin timestamp : 1700705638.2461407; tag : query_just_inference_extract; duration : 0.007531881332397461; package_0 : 438225.0; package_1 : 503057.0; core_0 : 0.0; core_1 : 26381.0; nvidia_gpu_0 : 901
begin timestamp : 1700705638.2562664; tag : query_just_inference_extract; duration : 0.007509946823120117; package_0 : 438652.0; package_1 : 498998.0; core_0 : 0.0; core_1 : 23696.0; nvidia_gpu_0 : 0
begin timestamp : 1700705638.264315; tag : query_just_inference_extract; duration : 0.007695913314819336; package_0 : 439110.0; package_1 : 504475.0; core_0 : 0.0; core_1 : 23741.0; nvidia_gpu_0 : 970
begin timestamp : 1700705638.275546; tag : query_just_inference_extract; duration : 0.007579803466796875; package_0 : 403864.0; package_1 : 437889.0; core_0 : 0.0; core_1 : 22887.0; nvidia_gpu_0 : 0
begin timestamp : 1700705638.2836602; tag : query_just_inference_extract; duration : 0.007517814636230469; package_0 : 406931.0; package_1 : 440407.0; core_0 : 0.0; core_1 : 22933.0; nvidia_gpu_0 : 1004
begin timestamp : 1700705638.2954578; tag : query_just_inference_extract; duration : 0.0075762271881103516; package_0 : 409540.0; package_1 : 438241.0; core_0 : 259.0; core_1 : 23329.0; nvidia_gpu_0 : 0
begin timestamp : 1700705638.3035655; tag : query_just_inference_extract; duration : 0.007788419723510742; package_0 : 386958.0; package_1 : 441673.0; core_0 : 0.0; core_1 : 26869.0; nvidia_gpu_0 : 990
