begin timestamp : 1692662514.7542431; tag : query; duration : 0.003816843032836914; package_0 : 523985.0; core_0 : 518065.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.759057; tag : query; duration : 0.0038890838623046875; package_0 : 353149.0; core_0 : 348815.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.7635071; tag : query; duration : 0.004148960113525391; package_0 : 380614.0; core_0 : 375304.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.7681375; tag : query; duration : 0.003771066665649414; package_0 : 478209.0; core_0 : 472350.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.7723858; tag : query; duration : 0.004376649856567383; package_0 : 515136.0; core_0 : 508910.0; uncore_0 : 0.0; nvidia_gpu_0 : 892
begin timestamp : 1692662514.7792678; tag : query; duration : 0.003947019577026367; package_0 : 416930.0; core_0 : 411071.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.7836776; tag : query; duration : 0.0037517547607421875; package_0 : 471495.0; core_0 : 465636.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.7878954; tag : query; duration : 0.0039136409759521484; package_0 : 519835.0; core_0 : 513670.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.792277; tag : query; duration : 0.0037844181060791016; package_0 : 566771.0; core_0 : 560363.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.7988327; tag : query; duration : 0.003942966461181641; package_0 : 397277.0; core_0 : 391295.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8032472; tag : query; duration : 0.003834247589111328; package_0 : 496397.0; core_0 : 490355.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8075652; tag : query; duration : 0.0038623809814453125; package_0 : 375121.0; core_0 : 370665.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8118966; tag : query; duration : 0.0038161277770996094; package_0 : 477294.0; core_0 : 471434.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.818947; tag : query; duration : 0.00397944450378418; package_0 : 392394.0; core_0 : 386107.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.823407; tag : query; duration : 0.00416254997253418; package_0 : 440978.0; core_0 : 435363.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8280752; tag : query; duration : 0.003709554672241211; package_0 : 636412.0; core_0 : 628721.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
