begin timestamp : 1709514711.2591846; tag : query_2; duration : 0.08168745040893555; package_0 : 4170644.0; package_1 : 4345570.0; dram_0 : 570414.0; dram_1 : 941318.0
begin timestamp : 1709514711.3415368; tag : query_2; duration : 0.08217859268188477; package_0 : 4192372.0; package_1 : 4451526.0; dram_0 : 568395.0; dram_1 : 970953.0
begin timestamp : 1709514711.424385; tag : query_2; duration : 0.08294939994812012; package_0 : 4260670.0; package_1 : 4471974.0; dram_0 : 580344.0; dram_1 : 957918.0
begin timestamp : 1709514711.5080295; tag : query_2; duration : 0.08310556411743164; package_0 : 4319753.0; package_1 : 4537525.0; dram_0 : 574056.0; dram_1 : 967939.0
begin timestamp : 1709514711.591796; tag : query_2; duration : 0.10085844993591309; package_0 : 4548206.0; package_1 : 5361619.0; dram_0 : 677148.0; dram_1 : 1036177.0
begin timestamp : 1709514711.6933208; tag : query_2; duration : 0.0971529483795166; package_0 : 4370411.0; package_1 : 5151293.0; dram_0 : 658068.0; dram_1 : 1042465.0
begin timestamp : 1709514711.7911332; tag : query_2; duration : 0.09616875648498535; package_0 : 4343739.0; package_1 : 5110888.0; dram_0 : 634919.0; dram_1 : 1020556.0
begin timestamp : 1709514711.8879552; tag : query_2; duration : 0.10013461112976074; package_0 : 4553333.0; package_1 : 5370653.0; dram_0 : 677301.0; dram_1 : 1069562.0
begin timestamp : 1709514711.9887593; tag : query_2; duration : 0.09883499145507812; package_0 : 4456226.0; package_1 : 4668628.0; dram_0 : 675877.0; dram_1 : 1073478.0
begin timestamp : 1709514712.0882916; tag : query_2; duration : 0.09083008766174316; package_0 : 4604480.0; package_1 : 4930530.0; dram_0 : 612581.0; dram_1 : 1012845.0
begin timestamp : 1709514712.1797757; tag : query_2; duration : 0.08453583717346191; package_0 : 4443592.0; package_1 : 4639515.0; dram_0 : 585715.0; dram_1 : 963625.0
begin timestamp : 1709514712.2649837; tag : query_2; duration : 0.08234357833862305; package_0 : 4239857.0; package_1 : 4452137.0; dram_0 : 575143.0; dram_1 : 964772.0
begin timestamp : 1709514712.3480783; tag : query_2; duration : 0.0850827693939209; package_0 : 4500233.0; package_1 : 4703296.0; dram_0 : 591391.0; dram_1 : 989619.0
begin timestamp : 1709514712.4338558; tag : query_2; duration : 0.08523440361022949; package_0 : 4504627.0; package_1 : 4698047.0; dram_0 : 580864.0; dram_1 : 984325.0
begin timestamp : 1709514712.5197513; tag : query_2; duration : 0.08119416236877441; package_0 : 4094411.0; package_1 : 4306324.0; dram_0 : 545277.0; dram_1 : 944637.0
begin timestamp : 1709514712.6016064; tag : query_2; duration : 0.08068490028381348; package_0 : 4091176.0; package_1 : 4315724.0; dram_0 : 558480.0; dram_1 : 958269.0
begin timestamp : 1709514712.682952; tag : query_2; duration : 0.08367586135864258; package_0 : 4442860.0; package_1 : 4652820.0; dram_0 : 574378.0; dram_1 : 981235.0
begin timestamp : 1709514712.7672966; tag : query_2; duration : 0.08702254295349121; package_0 : 4628650.0; package_1 : 4867420.0; dram_0 : 581170.0; dram_1 : 985336.0
begin timestamp : 1709514712.854974; tag : query_2; duration : 0.083160400390625; package_0 : 4338307.0; package_1 : 4552540.0; dram_0 : 572251.0; dram_1 : 981908.0
begin timestamp : 1709514712.9388082; tag : query_2; duration : 0.08272266387939453; package_0 : 4370289.0; package_1 : 4565845.0; dram_0 : 573490.0; dram_1 : 963364.0
begin timestamp : 1709514713.0222125; tag : query_2; duration : 0.0804743766784668; package_0 : 4043385.0; package_1 : 4236440.0; dram_0 : 562872.0; dram_1 : 945510.0
begin timestamp : 1709514713.1033344; tag : query_2; duration : 0.11220955848693848; package_0 : 5119982.0; package_1 : 5942855.0; dram_0 : 757641.0; dram_1 : 1142910.0
begin timestamp : 1709514713.2162142; tag : query_2; duration : 0.10917997360229492; package_0 : 4927844.0; package_1 : 5727219.0; dram_0 : 743550.0; dram_1 : 1147944.0
begin timestamp : 1709514713.3261116; tag : query_2; duration : 0.10545635223388672; package_0 : 4759326.0; package_1 : 5429735.0; dram_0 : 751001.0; dram_1 : 1095602.0
begin timestamp : 1709514713.432333; tag : query_2; duration : 0.15340399742126465; package_0 : 7041974.0; package_1 : 7183026.0; dram_0 : 1159327.0; dram_1 : 1360002.0
begin timestamp : 1709514713.5864296; tag : query_2; duration : 0.10677862167358398; package_0 : 5335618.0; package_1 : 5227282.0; dram_0 : 868780.0; dram_1 : 1049029.0
begin timestamp : 1709514713.693865; tag : query_2; duration : 0.11345648765563965; package_0 : 6071091.0; package_1 : 5983261.0; dram_0 : 945678.0; dram_1 : 1079599.0
begin timestamp : 1709514713.8079906; tag : query_2; duration : 0.12826251983642578; package_0 : 5933029.0; package_1 : 5549119.0; dram_0 : 1050161.0; dram_1 : 1033928.0
begin timestamp : 1709514713.9370263; tag : query_2; duration : 0.11178326606750488; package_0 : 4990100.0; package_1 : 4515858.0; dram_0 : 941868.0; dram_1 : 913394.0
begin timestamp : 1709514714.0494652; tag : query_2; duration : 0.12282037734985352; package_0 : 5294420.0; package_1 : 4965563.0; dram_0 : 1022423.0; dram_1 : 952992.0
begin timestamp : 1709514714.1729596; tag : query_2; duration : 0.1485002040863037; package_0 : 6963483.0; package_1 : 6038864.0; dram_0 : 1254508.0; dram_1 : 1130501.0
begin timestamp : 1709514714.3221192; tag : query_2; duration : 0.10752725601196289; package_0 : 5373094.0; package_1 : 5059314.0; dram_0 : 957428.0; dram_1 : 833621.0
begin timestamp : 1709514714.4310877; tag : query_2; duration : 0.07575035095214844; package_0 : 4434986.0; package_1 : 4404225.0; dram_0 : 744315.0; dram_1 : 708956.0
begin timestamp : 1709514714.507664; tag : query_2; duration : 0.06567740440368652; package_0 : 3806143.0; package_1 : 3751761.0; dram_0 : 668258.0; dram_1 : 622266.0
begin timestamp : 1709514714.5740042; tag : query_2; duration : 0.06360268592834473; package_0 : 3666372.0; package_1 : 3568900.0; dram_0 : 640534.0; dram_1 : 581721.0
begin timestamp : 1709514714.638293; tag : query_2; duration : 0.061064958572387695; package_0 : 3490348.0; package_1 : 3418143.0; dram_0 : 634140.0; dram_1 : 592768.0
begin timestamp : 1709514714.7000346; tag : query_2; duration : 0.05995464324951172; package_0 : 3433341.0; package_1 : 3387138.0; dram_0 : 634843.0; dram_1 : 585822.0
begin timestamp : 1709514714.7606795; tag : query_2; duration : 0.06181526184082031; package_0 : 3577871.0; package_1 : 3539237.0; dram_0 : 637306.0; dram_1 : 591314.0
begin timestamp : 1709514714.8231552; tag : query_2; duration : 0.05869722366333008; package_0 : 3320304.0; package_1 : 3274344.0; dram_0 : 606568.0; dram_1 : 583190.0
begin timestamp : 1709514714.882523; tag : query_2; duration : 0.07079458236694336; package_0 : 3922415.0; package_1 : 3907583.0; dram_0 : 713760.0; dram_1 : 657686.0
begin timestamp : 1709514714.9540036; tag : query_2; duration : 0.06543326377868652; package_0 : 3787527.0; package_1 : 3769399.0; dram_0 : 664632.0; dram_1 : 614876.0
begin timestamp : 1709514715.0200932; tag : query_2; duration : 0.06484103202819824; package_0 : 3780752.0; package_1 : 3779104.0; dram_0 : 680131.0; dram_1 : 598169.0
begin timestamp : 1709514715.0855904; tag : query_2; duration : 0.06647586822509766; package_0 : 3901723.0; package_1 : 3835012.0; dram_0 : 683879.0; dram_1 : 598459.0
begin timestamp : 1709514715.152777; tag : query_2; duration : 0.07263374328613281; package_0 : 4327382.0; package_1 : 4268605.0; dram_0 : 723369.0; dram_1 : 677530.0
begin timestamp : 1709514715.2260683; tag : query_2; duration : 0.07989621162414551; package_0 : 4819079.0; package_1 : 4739246.0; dram_0 : 786971.0; dram_1 : 736450.0
begin timestamp : 1709514715.3066216; tag : query_2; duration : 0.06914067268371582; package_0 : 4111257.0; package_1 : 4048878.0; dram_0 : 710700.0; dram_1 : 641927.0
begin timestamp : 1709514715.3764255; tag : query_2; duration : 0.06410861015319824; package_0 : 3743643.0; package_1 : 3679006.0; dram_0 : 657257.0; dram_1 : 638316.0
begin timestamp : 1709514715.4412172; tag : query_2; duration : 0.06670641899108887; package_0 : 3909963.0; package_1 : 3884451.0; dram_0 : 697282.0; dram_1 : 634399.0
begin timestamp : 1709514715.5086272; tag : query_2; duration : 0.06345176696777344; package_0 : 3690420.0; package_1 : 3652456.0; dram_0 : 666759.0; dram_1 : 613576.0
begin timestamp : 1709514715.5727825; tag : query_2; duration : 0.06300544738769531; package_0 : 3717337.0; package_1 : 3637198.0; dram_0 : 660394.0; dram_1 : 604366.0
begin timestamp : 1709514715.6364617; tag : query_2; duration : 0.06178164482116699; package_0 : 3607900.0; package_1 : 3543265.0; dram_0 : 649363.0; dram_1 : 595200.0
begin timestamp : 1709514715.6989102; tag : query_2; duration : 0.0719759464263916; package_0 : 4275868.0; package_1 : 4216725.0; dram_0 : 737016.0; dram_1 : 666177.0
begin timestamp : 1709514715.7715461; tag : query_2; duration : 0.06585526466369629; package_0 : 3856131.0; package_1 : 3847707.0; dram_0 : 681416.0; dram_1 : 623169.0
begin timestamp : 1709514715.8380878; tag : query_2; duration : 0.06371068954467773; package_0 : 3738821.0; package_1 : 3634452.0; dram_0 : 626979.0; dram_1 : 623598.0
begin timestamp : 1709514715.9024544; tag : query_2; duration : 0.06879949569702148; package_0 : 4108327.0; package_1 : 4050160.0; dram_0 : 691361.0; dram_1 : 614004.0
begin timestamp : 1709514715.9719367; tag : query_2; duration : 0.06003689765930176; package_0 : 3455496.0; package_1 : 3397880.0; dram_0 : 613561.0; dram_1 : 595384.0
begin timestamp : 1709514716.0326502; tag : query_2; duration : 0.062093257904052734; package_0 : 3595938.0; package_1 : 3542654.0; dram_0 : 647236.0; dram_1 : 591589.0
begin timestamp : 1709514716.0954134; tag : query_2; duration : 0.06898760795593262; package_0 : 4117909.0; package_1 : 4053579.0; dram_0 : 697817.0; dram_1 : 639892.0
begin timestamp : 1709514716.1650703; tag : query_2; duration : 0.06346821784973145; package_0 : 3701529.0; package_1 : 3645681.0; dram_0 : 602637.0; dram_1 : 609292.0
begin timestamp : 1709514716.229235; tag : query_2; duration : 0.06691718101501465; package_0 : 3947560.0; package_1 : 3857412.0; dram_0 : 667080.0; dram_1 : 642860.0
