begin timestamp : 1700705592.289856; tag : query_just_inference; duration : 0.006451129913330078; package_0 : 383922.0; package_1 : 441796.0; core_0 : 0.0; core_1 : 23573.0; nvidia_gpu_0 : 1264
begin timestamp : 1700705592.2989755; tag : query_just_inference; duration : 0.006531238555908203; package_0 : 328260.0; package_1 : 375667.0; core_0 : 0.0; core_1 : 20384.0; nvidia_gpu_0 : 0
begin timestamp : 1700705592.3060386; tag : query_just_inference; duration : 0.00643467903137207; package_0 : 329481.0; package_1 : 378338.0; core_0 : 0.0; core_1 : 20430.0; nvidia_gpu_0 : 1045
begin timestamp : 1700705592.31633; tag : query_just_inference; duration : 0.006432771682739258; package_0 : 328688.0; package_1 : 374721.0; core_0 : 0.0; core_1 : 19774.0; nvidia_gpu_0 : 0
begin timestamp : 1700705592.323306; tag : query_just_inference; duration : 0.0064449310302734375; package_0 : 328398.0; package_1 : 378307.0; core_0 : 0.0; core_1 : 19988.0; nvidia_gpu_0 : 0
begin timestamp : 1700705592.3302817; tag : query_just_inference; duration : 0.006447792053222656; package_0 : 329694.0; package_1 : 378261.0; core_0 : 0.0; core_1 : 20064.0; nvidia_gpu_0 : 1406
begin timestamp : 1700705592.3393471; tag : query_just_inference; duration : 0.006453514099121094; package_0 : 328733.0; package_1 : 374843.0; core_0 : 0.0; core_1 : 19820.0; nvidia_gpu_0 : 0
begin timestamp : 1700705592.3463356; tag : query_just_inference; duration : 0.00650334358215332; package_0 : 330534.0; package_1 : 379359.0; core_0 : 0.0; core_1 : 19896.0; nvidia_gpu_0 : 1121
begin timestamp : 1700705595.385127; tag : query_just_inference; duration : 0.006109714508056641; package_0 : 317046.0; package_1 : 354169.0; core_0 : 0.0; core_1 : 13626.0; nvidia_gpu_0 : 361
begin timestamp : 1700705595.3961544; tag : query_just_inference; duration : 0.003719806671142578; package_0 : 219594.0; package_1 : 247561.0; core_0 : 0.0; core_1 : 12282.0; nvidia_gpu_0 : 0
begin timestamp : 1700705595.400415; tag : query_just_inference; duration : 0.0037279129028320312; package_0 : 219166.0; package_1 : 251239.0; core_0 : 0.0; core_1 : 12421.0; nvidia_gpu_0 : 0
begin timestamp : 1700705595.404682; tag : query_just_inference; duration : 0.003765583038330078; package_0 : 221607.0; package_1 : 251253.0; core_0 : 0.0; core_1 : 12526.0; nvidia_gpu_0 : 0
begin timestamp : 1700705595.4089792; tag : query_just_inference; duration : 0.0037202835083007812; package_0 : 165336.0; package_1 : 187841.0; core_0 : 0.0; core_1 : 9292.0; nvidia_gpu_0 : 1117
begin timestamp : 1700705595.4161408; tag : query_just_inference; duration : 0.0037279129028320312; package_0 : 219318.0; package_1 : 248171.0; core_0 : 0.0; core_1 : 12543.0; nvidia_gpu_0 : 0
begin timestamp : 1700705595.4204023; tag : query_just_inference; duration : 0.003718137741088867; package_0 : 219532.0; package_1 : 251193.0; core_0 : 0.0; core_1 : 12511.0; nvidia_gpu_0 : 0
begin timestamp : 1700705595.4246569; tag : query_just_inference; duration : 0.003702402114868164; package_0 : 220890.0; package_1 : 251299.0; core_0 : 885.0; core_1 : 12588.0; nvidia_gpu_0 : 0
begin timestamp : 1700705595.4288945; tag : query_just_inference; duration : 0.0037200450897216797; package_0 : 165366.0; package_1 : 251345.0; core_0 : 0.0; core_1 : 9612.0; nvidia_gpu_0 : 1226
begin timestamp : 1700705595.4365828; tag : query_just_inference; duration : 0.0037126541137695312; package_0 : 219517.0; package_1 : 246889.0; core_0 : 107.0; core_1 : 11703.0; nvidia_gpu_0 : 0
begin timestamp : 1700705598.4092927; tag : query_just_inference; duration : 0.010101079940795898; package_0 : 542300.0; package_1 : 605590.0; core_0 : 0.0; core_1 : 24779.0; nvidia_gpu_0 : 548
begin timestamp : 1700705598.4242508; tag : query_just_inference; duration : 0.007537841796875; package_0 : 439065.0; package_1 : 501088.0; core_0 : 0.0; core_1 : 26000.0; nvidia_gpu_0 : 0
begin timestamp : 1700705598.4323575; tag : query_just_inference; duration : 0.00749969482421875; package_0 : 440208.0; package_1 : 505161.0; core_0 : 1511.0; core_1 : 26854.0; nvidia_gpu_0 : 1024
begin timestamp : 1700705598.4441438; tag : query_just_inference; duration : 0.007482767105102539; package_0 : 438057.0; package_1 : 437462.0; core_0 : 0.0; core_1 : 26381.0; nvidia_gpu_0 : 0
begin timestamp : 1700705598.452168; tag : query_just_inference; duration : 0.0075016021728515625; package_0 : 438072.0; package_1 : 504612.0; core_0 : 0.0; core_1 : 26732.0; nvidia_gpu_0 : 1061
begin timestamp : 1700705598.4641895; tag : query_just_inference; duration : 0.007510185241699219; package_0 : 437950.0; package_1 : 500783.0; core_0 : 0.0; core_1 : 26137.0; nvidia_gpu_0 : 0
begin timestamp : 1700705598.4722426; tag : query_just_inference; duration : 0.0075473785400390625; package_0 : 438744.0; package_1 : 505665.0; core_0 : 0.0; core_1 : 26625.0; nvidia_gpu_0 : 1072
begin timestamp : 1700705598.4843228; tag : query_just_inference; duration : 0.007472991943359375; package_0 : 439201.0; package_1 : 500371.0; core_0 : 0.0; core_1 : 25328.0; nvidia_gpu_0 : 0
begin timestamp : 1700705598.492334; tag : query_just_inference; duration : 0.007403850555419922; package_0 : 438073.0; package_1 : 502522.0; core_0 : 0.0; core_1 : 26412.0; nvidia_gpu_0 : 1056
begin timestamp : 1700705598.504444; tag : query_just_inference; duration : 0.007395744323730469; package_0 : 439110.0; package_1 : 498433.0; core_0 : 625.0; core_1 : 25466.0; nvidia_gpu_0 : 0
