index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 22:13:20.548, 24.67 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:21.560, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:22.566, 24.56 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:23.573, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:24.582, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:25.592, 24.56 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:26.601, 24.56 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:27.609, 24.56 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:28.617, 24.55 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:29.625, 24.47 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:30.632, 24.45 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:31.639, 24.47 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:32.641, 24.56 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:33.644, 24.55 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:34.647, 24.47 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:35.650, 24.65 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:36.654, 24.56 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:37.657, 24.46 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:38.660, 24.46 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:39.676, 24.46 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:40.679, 24.46 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:41.682, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:42.685, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:43.688, 24.46 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:44.691, 24.47 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:45.694, 24.47 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:46.711, 24.46 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 22:13:47.714, 24.47 W, 135 MHz, 1107 MHz, 135 MHz
