index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 18:39:28.399, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:29.407, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:30.415, 24.50 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:31.420, 24.50 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:32.425, 24.50 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:33.430, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:34.433, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:35.436, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:36.443, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:37.446, 24.50 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:38.449, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:39.454, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:40.458, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:41.464, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:42.467, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:43.472, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:44.476, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:45.480, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:46.485, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:47.490, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:48.493, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:49.496, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:50.500, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:51.505, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:52.510, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:53.514, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:54.518, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:55.524, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:56.529, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:57.538, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:58.546, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:39:59.552, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:00.561, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:01.569, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:02.576, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:03.582, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:04.585, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:05.588, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:06.591, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:07.594, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:08.597, 24.50 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:09.600, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:10.603, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:11.606, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:12.609, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:13.612, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:14.615, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:15.631, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:16.634, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:17.637, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:18.639, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:19.642, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:20.645, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:21.648, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:22.651, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:23.654, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:24.657, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:25.660, 24.50 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:26.663, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:27.666, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:28.670, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:29.674, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:30.678, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:31.683, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:32.687, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:33.691, 24.50 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:34.694, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:35.699, 24.41 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:36.704, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:37.707, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:38.710, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:39.714, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:40.718, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:41.723, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:40:42.727, 40.17 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 18:40:43.730, 40.19 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 18:40:44.732, 40.27 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 18:40:45.735, 35.50 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 18:40:46.738, 45.72 W, 1500 MHz, 1107 MHz, 1500 MHz
0, 2023/11/22 18:40:47.741, 45.72 W, 1500 MHz, 1107 MHz, 1500 MHz
0, 2023/11/22 18:40:48.744, 45.74 W, 1500 MHz, 1107 MHz, 1500 MHz
0, 2023/11/22 18:40:49.747, 45.74 W, 1500 MHz, 1107 MHz, 1500 MHz
0, 2023/11/22 18:40:50.750, 45.63 W, 1500 MHz, 1107 MHz, 1500 MHz
0, 2023/11/22 18:40:51.753, 45.91 W, 1500 MHz, 1107 MHz, 1500 MHz
0, 2023/11/22 18:40:52.756, 45.91 W, 1500 MHz, 1107 MHz, 1500 MHz
0, 2023/11/22 18:40:53.759, 45.92 W, 1500 MHz, 1107 MHz, 1500 MHz
0, 2023/11/22 18:40:54.762, 45.91 W, 1500 MHz, 1107 MHz, 1500 MHz
