index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 21:21:42.376, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:43.383, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:44.387, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:45.391, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:46.396, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:47.400, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:48.404, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:49.408, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:50.412, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:51.417, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:52.422, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:53.428, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:54.436, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:55.444, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:56.450, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:57.456, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:58.465, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:21:59.471, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:00.478, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:01.485, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:02.489, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:03.498, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:04.506, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:05.515, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:06.526, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:07.536, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:08.547, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:09.556, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:10.569, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:11.579, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:12.582, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:13.587, 24.29 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:14.590, 24.29 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:15.597, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:16.600, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:17.606, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:18.610, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:19.614, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:20.618, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:21.623, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:22.629, 24.28 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:23.632, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:24.638, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:25.643, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:26.647, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:27.652, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:28.655, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:29.661, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:30.666, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:31.672, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:32.677, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:33.680, 24.29 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:34.685, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:35.692, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:36.697, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:37.704, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:38.710, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:39.715, 24.29 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:40.722, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:41.726, 24.28 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:42.732, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:43.741, 24.29 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:44.748, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:45.752, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:46.757, 24.29 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:47.762, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:48.769, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:49.773, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:50.780, 24.29 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:51.786, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:52.793, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:53.798, 24.29 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:54.805, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:55.813, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:56.822, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:57.830, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:58.837, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:22:59.843, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:00.851, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:01.857, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:02.864, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:03.867, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:04.873, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:05.879, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:06.885, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:07.893, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:08.900, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:09.906, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:10.916, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:11.926, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:12.935, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:13.947, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:14.954, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:15.961, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:23:16.968, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
