index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 21:51:26.290, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:51:27.302, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:51:28.305, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:51:29.308, 35.57 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:30.311, 35.40 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:31.314, 35.40 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:32.317, 45.78 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:33.320, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:34.320, 45.48 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:35.323, 44.51 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:36.324, 45.38 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:37.327, 45.87 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:38.330, 45.87 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:39.333, 45.59 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:40.336, 44.03 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:41.337, 45.48 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:42.340, 44.81 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:43.343, 44.99 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:44.346, 45.87 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:45.351, 45.48 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:46.354, 46.06 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:47.357, 45.20 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:48.360, 45.38 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:49.363, 45.49 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:50.366, 45.19 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:51.369, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:52.371, 45.67 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:53.374, 45.77 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:54.377, 46.16 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:55.380, 45.68 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:56.383, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:57.384, 46.26 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:58.387, 45.66 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:51:59.390, 45.38 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:00.393, 46.15 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:01.396, 42.75 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:02.396, 46.55 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:03.399, 46.06 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:04.402, 46.45 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:05.405, 45.96 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:06.408, 45.87 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:07.411, 45.77 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:08.414, 45.20 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:09.416, 41.69 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:10.417, 46.75 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:11.420, 45.29 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:12.423, 46.46 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:13.426, 45.97 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:14.429, 45.38 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:15.432, 46.25 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:16.439, 46.26 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:17.442, 45.77 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:18.450, 45.77 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:19.452, 45.29 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:20.455, 45.58 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:21.458, 45.58 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:22.461, 45.68 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:23.464, 46.16 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:24.467, 46.75 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:25.470, 45.38 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:26.472, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:27.473, 45.38 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:28.476, 45.08 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:29.479, 45.29 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:30.480, 46.26 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:31.483, 45.29 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:32.488, 45.19 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:33.491, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:34.494, 45.97 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:35.497, 45.98 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:36.503, 45.77 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:37.506, 45.47 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:38.508, 45.87 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:39.511, 45.09 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:40.515, 45.97 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:41.517, 46.75 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:42.520, 46.07 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:52:43.523, 46.26 W, 1245 MHz, 1107 MHz, 1245 MHz
