index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 18:41:33.395, 24.78 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:41:34.400, 24.68 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:41:35.405, 24.78 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:41:36.410, 24.68 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:41:37.415, 24.78 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:41:38.418, 24.78 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:41:39.422, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:41:40.427, 24.77 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:41:41.431, 45.12 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:42.434, 44.93 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:43.437, 45.11 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:44.440, 45.15 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:45.443, 45.14 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:46.446, 45.13 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:47.449, 45.14 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:48.452, 45.14 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:49.455, 45.14 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:50.458, 45.14 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:51.461, 45.14 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:52.464, 45.04 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:53.467, 45.03 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:54.471, 45.24 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:55.474, 45.15 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:56.477, 45.24 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:57.480, 45.14 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:58.483, 45.14 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:41:59.487, 45.23 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:00.492, 45.24 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:01.495, 45.04 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:02.498, 45.22 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:03.501, 45.14 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:04.504, 45.03 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:05.507, 45.24 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:06.510, 45.23 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:07.513, 45.24 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:08.516, 45.13 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:09.519, 45.23 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:10.522, 45.13 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:11.525, 45.23 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:12.528, 45.23 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:13.534, 45.23 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:14.537, 45.13 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:15.540, 45.23 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:16.544, 45.13 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:17.547, 45.23 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:18.550, 45.23 W, 1477 MHz, 1107 MHz, 1477 MHz
0, 2023/11/22 18:42:19.553, 25.86 W, 330 MHz, 1107 MHz, 330 MHz
0, 2023/11/22 18:42:20.556, 25.76 W, 330 MHz, 1107 MHz, 330 MHz
0, 2023/11/22 18:42:21.559, 25.76 W, 330 MHz, 1107 MHz, 330 MHz
0, 2023/11/22 18:42:22.562, 24.78 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:23.565, 24.78 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:24.569, 24.69 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:25.575, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:26.582, 24.78 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:27.589, 24.78 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:28.594, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:29.604, 24.69 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:30.609, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:31.614, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:32.621, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:33.628, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:34.634, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:35.640, 24.50 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:36.645, 24.69 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:37.650, 24.69 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:38.656, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:39.664, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:40.669, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:41.676, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:42.686, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:43.696, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:44.704, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:45.714, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:46.721, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:47.730, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:48.735, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:49.745, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:50.753, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:51.759, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:52.767, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:53.774, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:54.780, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:55.787, 24.50 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:56.791, 24.40 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:57.797, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:58.804, 24.58 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:42:59.811, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:43:00.814, 24.49 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:43:01.817, 24.59 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 18:43:02.823, 24.39 W, 135 MHz, 1107 MHz, 135 MHz
