index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 19:26:46.095, 24.67 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 19:26:47.103, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 19:26:48.107, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 19:26:49.110, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 19:26:50.114, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 19:26:51.118, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 19:26:52.122, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 19:26:53.128, 24.57 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 19:26:54.137, 46.47 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:26:55.140, 47.06 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:26:56.143, 47.03 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:26:57.148, 83.94 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:26:58.152, 90.50 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:26:59.154, 89.92 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:00.162, 85.65 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:01.165, 83.27 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:02.168, 93.48 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:03.171, 88.78 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:04.174, 71.74 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:05.175, 103.89 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:06.178, 91.57 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:07.181, 82.97 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:08.183, 92.54 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:09.186, 102.70 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:10.189, 82.26 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:11.192, 73.88 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:12.193, 98.61 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:13.195, 86.93 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:14.196, 96.28 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:15.199, 86.79 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:16.202, 86.92 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:17.205, 90.37 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:18.207, 75.71 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:19.208, 84.98 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:20.210, 86.19 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:21.213, 88.46 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:22.215, 93.48 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:23.218, 85.37 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:24.221, 91.00 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:25.223, 79.86 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:26.225, 85.77 W, 1515 MHz, 1107 MHz, 1515 MHz
0, 2023/11/22 19:27:27.226, 70.48 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:28.229, 69.42 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:29.232, 71.06 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:30.233, 82.98 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:31.236, 72.21 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:32.239, 88.39 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:33.241, 55.46 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:34.243, 61.97 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:35.245, 86.03 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:36.248, 60.90 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:37.249, 76.58 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:38.252, 73.59 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:39.254, 72.72 W, 1335 MHz, 1107 MHz, 1335 MHz
0, 2023/11/22 19:27:40.257, 73.28 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:41.260, 74.93 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:42.260, 76.19 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:43.264, 72.81 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:44.267, 75.22 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:45.267, 76.63 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:46.270, 64.79 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:47.271, 87.60 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:48.274, 81.72 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:49.277, 78.22 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:50.280, 77.76 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:51.282, 75.04 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:52.283, 74.25 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:53.284, 78.19 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:54.287, 76.87 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:55.290, 65.26 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:56.290, 83.18 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:57.294, 84.38 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:58.297, 77.93 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:27:59.298, 92.73 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:28:00.301, 77.65 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:28:01.302, 62.84 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 19:28:02.311, 84.70 W, 1372 MHz, 1107 MHz, 1372 MHz
