index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/11/22 21:10:55.852, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:10:56.865, 24.47 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:10:57.871, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:10:58.880, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:10:59.887, 24.38 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:11:00.897, 24.37 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:11:01.902, 24.48 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:11:02.905, 24.47 W, 135 MHz, 1107 MHz, 135 MHz
0, 2023/11/22 21:11:03.908, 41.01 W, 1372 MHz, 1107 MHz, 1372 MHz
0, 2023/11/22 21:11:04.911, 42.89 W, 1440 MHz, 1107 MHz, 1440 MHz
0, 2023/11/22 21:11:05.914, 42.88 W, 1440 MHz, 1107 MHz, 1440 MHz
0, 2023/11/22 21:11:06.917, 43.35 W, 1440 MHz, 1107 MHz, 1440 MHz
0, 2023/11/22 21:11:07.920, 43.34 W, 1440 MHz, 1107 MHz, 1440 MHz
0, 2023/11/22 21:11:08.923, 43.34 W, 1440 MHz, 1107 MHz, 1440 MHz
0, 2023/11/22 21:11:09.926, 44.99 W, 1440 MHz, 1107 MHz, 1440 MHz
0, 2023/11/22 21:11:10.930, 43.38 W, 1440 MHz, 1107 MHz, 1440 MHz
0, 2023/11/22 21:11:11.933, 43.47 W, 1440 MHz, 1107 MHz, 1440 MHz
0, 2023/11/22 21:11:12.937, 35.67 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:13.942, 35.67 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:14.945, 35.67 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:15.948, 35.67 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:16.951, 35.77 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:17.954, 35.70 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:18.957, 35.59 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:19.960, 35.67 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:20.963, 35.68 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:21.966, 35.59 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:22.970, 35.60 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:23.974, 35.88 W, 1245 MHz, 1107 MHz, 1245 MHz
0, 2023/11/22 21:11:24.977, 35.77 W, 1245 MHz, 1107 MHz, 1245 MHz
