begin timestamp : 1700707596.6651082; tag : query_just_inference; duration : 0.1524031162261963; package_0 : 8310315.0; package_1 : 9573495.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6854
begin timestamp : 1700707596.8205824; tag : query_just_inference; duration : 0.1461644172668457; package_0 : 7985747.0; package_1 : 9197675.0; core_0 : 213.0; core_1 : 0.0; nvidia_gpu_0 : 6775
begin timestamp : 1700707596.9696305; tag : query_just_inference; duration : 0.1519145965576172; package_0 : 8310483.0; package_1 : 9500653.0; core_0 : 0.0; core_1 : 1007.0; nvidia_gpu_0 : 6798
begin timestamp : 1700707597.124808; tag : query_just_inference; duration : 0.1466526985168457; package_0 : 7981338.0; package_1 : 9216671.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6936
begin timestamp : 1700707597.2772074; tag : query_just_inference; duration : 0.1458733081817627; package_0 : 7935716.0; package_1 : 9144150.0; core_0 : 366.0; core_1 : 0.0; nvidia_gpu_0 : 6774
begin timestamp : 1700707597.4259412; tag : query_just_inference; duration : 0.1464073657989502; package_0 : 7996107.0; package_1 : 9208157.0; core_0 : 6149.0; core_1 : 0.0; nvidia_gpu_0 : 6771
begin timestamp : 1700707597.5752578; tag : query_just_inference; duration : 0.1484534740447998; package_0 : 8105675.0; package_1 : 9507946.0; core_0 : 580.0; core_1 : 854.0; nvidia_gpu_0 : 6857
begin timestamp : 1700707597.7265728; tag : query_just_inference; duration : 0.14576172828674316; package_0 : 7986785.0; package_1 : 9202817.0; core_0 : 15.0; core_1 : 168.0; nvidia_gpu_0 : 6798
begin timestamp : 1700707597.8752513; tag : query_just_inference; duration : 0.14661812782287598; package_0 : 7991621.0; package_1 : 9218167.0; core_0 : 412.0; core_1 : 336.0; nvidia_gpu_0 : 6892
begin timestamp : 1700707598.0273383; tag : query_just_inference; duration : 0.1466984748840332; package_0 : 8043453.0; package_1 : 9277764.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6827
